target,condition,family,layer,sample_size,original_feature_count,feature_count,n_sampling_repeats,n_projection_seeds,n_runs,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_target_f1_mean,test_target_f1_std,selected_c_mode,selected_c_mean
footwear,trained_conv2,trained,conv2,110,1568,32,10,5,50,0.97455,0.007237409898631995,0.9697208149018849,0.008675782788291527,0.9749100000000002,0.006596914863349814,0.9701053577583788,0.007943102774889285,0.9581227329616132,0.011218377693984934,1.0,0.838
footwear,trained_conv2,trained,conv2,150,1568,32,10,5,50,0.97674,0.0068588093213124484,0.9724092803014424,0.008146380741189303,0.977,0.006249408135241,0.9726707838251863,0.007426890914084568,0.9617946887428803,0.010386691898320883,1.0,0.82
footwear,trained_conv2,trained,conv2,200,1568,32,10,5,50,0.9784,0.006483888981662985,0.9743794522904696,0.007693618715476481,0.978378,0.006027531731605424,0.9743155501545218,0.007153530836938008,0.9641018568578175,0.009994046713092189,1.0,0.91
footwear,trained_fc,trained,fc,10,128,32,10,5,50,0.98623,0.014503767983330607,0.9836658744552728,0.017177550873345392,0.983382,0.01620567663203363,0.980271447036781,0.01920693111484307,0.9724473193253549,0.02680036705830162,1.0,0.802
footwear,trained_fc,trained,fc,20,128,32,10,5,50,0.9917300000000001,0.010536239696342127,0.9902013869648587,0.012438602434205167,0.989372,0.012203529767059622,0.9874115068956166,0.014357104001441504,0.9824460662672867,0.019917686426661453,1.0,0.694
footwear,trained_fc,trained,fc,30,128,32,10,5,50,0.99483,0.006790306716645611,0.9938877532618278,0.007948696047851797,0.9931399999999999,0.008022570202438947,0.991886230879235,0.009367637776326005,0.9886977426887271,0.01291779121524317,1.0,0.6040000000000001
footwear,trained_fc,trained,fc,50,128,32,10,5,50,0.9974599999999999,0.003129582354609914,0.9969888093062806,0.0036783613642671275,0.9961659999999999,0.0035811644440754513,0.9954490375520892,0.004207586908302442,0.9936429322192606,0.005831168720640866,1.0,0.5680000000000001
footwear,trained_fc,trained,fc,80,128,32,10,5,50,0.99842,0.001382691843721469,0.9981219585723409,0.0016422151441449504,0.9971099999999999,0.0015999043338746951,0.9965628990112272,0.001894980272702309,0.9951916313301207,0.0026427820409343685,1.0,0.5014
footwear,trained_fc,trained,fc,110,128,32,10,5,50,0.99862,0.001032927284715732,0.998358995794416,0.0012278783618606297,0.9975499999999999,0.0011882503000252983,0.9970853918641486,0.0014109291214265966,0.9959217201958119,0.0019714610346078932,1.0,0.532
footwear,trained_fc,trained,fc,150,128,32,10,5,50,0.99869,0.0008857718875278799,0.9984422549535351,0.0010525115018861135,0.997752,0.001058346804777948,0.9973258758294944,0.0012578317865774486,0.9962584051917008,0.0017587569271830413,1.0,0.44020000000000004
