source_seed,repeat,sampling_seed,projection_seed,task,task_category,sample_size,condition,family,layer,training_class_counts,original_feature_count,feature_count,selected_c,validation_accuracy,validation_macro_f1,n_test,test_class_counts,test_accuracy,test_macro_f1,test_balanced_accuracy,test_per_class_f1,test_confusion_matrix
42,7,48,4,footwear_three_way,within_footwear,200,fine_conv1,fine,conv1,"[66, 67, 67]",3136,32,0.1,0.82,0.8191490915045504,3000,"[1000, 1000, 1000]",0.815,0.8140763519962987,0.815,"[0.7707865168539326, 0.8051486906347093, 0.8662938485002541]","[[686, 232, 82], [60, 907, 33], [34, 114, 852]]"
42,7,48,4,footwear_three_way,within_footwear,200,coarse_conv1,coarse,conv1,"[66, 67, 67]",3136,32,0.1,0.8533333333333334,0.8531904929165203,3000,"[1000, 1000, 1000]",0.831,0.8315980089174078,0.831,"[0.816, 0.8128146453089244, 0.865979381443299]","[[765, 169, 66], [78, 888, 34], [32, 128, 840]]"
42,7,48,4,footwear_three_way,within_footwear,200,random_conv2,random,conv2,"[66, 67, 67]",1568,32,1.0,0.86,0.8618789521228546,3000,"[1000, 1000, 1000]",0.8393333333333334,0.8405531519249653,0.8393333333333333,"[0.8371352785145889, 0.8171557562076749, 0.8673684210526316]","[[789, 164, 47], [66, 905, 29], [30, 146, 824]]"
42,7,48,4,footwear_three_way,within_footwear,200,fine_conv2,fine,conv2,"[66, 67, 67]",1568,32,0.1,0.8633333333333333,0.8626857171499425,3000,"[1000, 1000, 1000]",0.8743333333333333,0.8740309809610992,0.8743333333333333,"[0.8588687534321802, 0.8685661764705882, 0.8946580129805292]","[[782, 149, 69], [17, 945, 38], [22, 82, 896]]"
42,7,48,4,footwear_three_way,within_footwear,200,coarse_conv2,coarse,conv2,"[66, 67, 67]",1568,32,1.0,0.855,0.8548020113136392,3000,"[1000, 1000, 1000]",0.8456666666666667,0.8455093724472391,0.8456666666666667,"[0.826226012793177, 0.8416666666666667, 0.8686354378818737]","[[775, 145, 80], [60, 909, 31], [41, 106, 853]]"
42,7,48,4,footwear_three_way,within_footwear,200,random_fc,random,fc,"[66, 67, 67]",128,32,1.0,0.87,0.8709933859454256,3000,"[1000, 1000, 1000]",0.851,0.8515155411237402,0.851,"[0.8535954474909467, 0.8358348968105066, 0.8651162790697674]","[[825, 114, 61], [72, 891, 37], [36, 127, 837]]"
42,7,48,4,footwear_three_way,within_footwear,200,fine_fc,fine,fc,"[66, 67, 67]",128,32,1.0,0.9666666666666667,0.9667365539005291,3000,"[1000, 1000, 1000]",0.959,0.9591279524702189,0.959,"[0.9719530851606323, 0.9525193798449613, 0.9529113924050633]","[[953, 24, 23], [6, 983, 11], [2, 57, 941]]"
42,7,48,4,footwear_three_way,within_footwear,200,coarse_fc,coarse,fc,"[66, 67, 67]",128,32,1.0,0.8216666666666667,0.8235479682987111,3000,"[1000, 1000, 1000]",0.8253333333333334,0.826791287013684,0.8253333333333334,"[0.8121606948968513, 0.7944469323779668, 0.8737662337662337]","[[748, 212, 40], [69, 887, 44], [25, 134, 841]]"
42,8,49,0,footwear_three_way,within_footwear,200,constant,constant,constant,"[67, 66, 67]",0,0,,,,3000,"[1000, 1000, 1000]",0.3333333333333333,0.16666666666666666,0.3333333333333333,"[0.5, 0.0, 0.0]","[[1000, 0, 0], [1000, 0, 0], [1000, 0, 0]]"
42,8,49,0,footwear_three_way,within_footwear,200,pixels,pixels,pixels,"[67, 66, 67]",784,32,0.01,0.8433333333333334,0.842544139423458,3000,"[1000, 1000, 1000]",0.8243333333333334,0.8233235551061987,0.8243333333333333,"[0.7987388334209143, 0.7920792079207921, 0.8791526239768898]","[[760, 178, 62], [98, 800, 102], [45, 42, 913]]"
