task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
footwear_three_way,within_footwear,constant,constant,constant,50,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,80,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,110,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,150,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,constant,constant,constant,200,0,0,42,10,5,50,0.33333333333333326,5.607473066727768e-17,0.16666666666666663,2.803736533363884e-17,0.33333333333333326,5.607473066727768e-17,
footwear_three_way,within_footwear,pixels,pixels,pixels,10,784,32,42,10,5,50,0.73462,0.04757936489402544,0.7279009758917249,0.051514897740645375,0.73462,0.04757936489402544,0.1
footwear_three_way,within_footwear,pixels,pixels,pixels,20,784,32,42,10,5,50,0.7825,0.02792086728473836,0.7805399095893664,0.02950739034237821,0.7825,0.02792086728473838,0.1
footwear_three_way,within_footwear,pixels,pixels,pixels,30,784,32,42,10,5,50,0.7980800000000001,0.02084589390064639,0.7963303566887749,0.022891592453309195,0.7980800000000001,0.020845893900646402,0.01
footwear_three_way,within_footwear,pixels,pixels,pixels,50,784,32,42,10,5,50,0.8074266666666666,0.014916249946674103,0.8063041310016108,0.015382486523021495,0.8074266666666666,0.014916249946674108,0.01
footwear_three_way,within_footwear,pixels,pixels,pixels,80,784,32,42,10,5,50,0.8148733333333332,0.012413307539960188,0.8140785483642814,0.012769171547403481,0.8148733333333332,0.01241330753996019,0.01
footwear_three_way,within_footwear,pixels,pixels,pixels,110,784,32,42,10,5,50,0.8206866666666666,0.010823341284154716,0.8201181984210545,0.011129738154797595,0.8206866666666666,0.010823341284154731,0.1
footwear_three_way,within_footwear,pixels,pixels,pixels,150,784,32,42,10,5,50,0.8261066666666668,0.011717274105851386,0.8257769717237027,0.011983375267522162,0.8261066666666668,0.011717274105851392,0.1
footwear_three_way,within_footwear,pixels,pixels,pixels,200,784,32,42,10,5,50,0.8295600000000001,0.010690967217485591,0.8292831920590704,0.010891056973547936,0.8295599999999999,0.010690967217485576,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,10,3136,32,42,10,5,50,0.7242799999999998,0.041008508602213015,0.7135258822802859,0.04873890567409693,0.7242799999999999,0.041008508602213,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,20,3136,32,42,10,5,50,0.7705733333333333,0.02769636468528036,0.7677935195384482,0.02897192891608805,0.7705733333333333,0.027696364685280365,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,30,3136,32,42,10,5,50,0.7909866666666667,0.02529624567700657,0.7885970294031659,0.027713166208301592,0.7909866666666667,0.02529624567700658,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,50,3136,32,42,10,5,50,0.80686,0.0186055961639712,0.8048658997278879,0.0201032564504749,0.8068600000000002,0.018605596163971186,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,80,3136,32,42,10,5,50,0.8215333333333333,0.014772960529690427,0.8204926163448606,0.015462461893384872,0.8215333333333333,0.014772960529690434,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,110,3136,32,42,10,5,50,0.8289266666666666,0.01301234195231205,0.828197707673352,0.013576072972690648,0.8289266666666666,0.013012341952312045,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,150,3136,32,42,10,5,50,0.8384066666666666,0.01264934189355858,0.8380471542427718,0.012928097423856245,0.8384066666666666,0.01264934189355858,0.1
footwear_three_way,within_footwear,random_conv1,random,conv1,200,3136,32,42,10,5,50,0.8447466666666668,0.01263073313395283,0.8444816572158872,0.012776588904071733,0.8447466666666668,0.012630733133952831,0.1
