task,task_category,family,layer,examples_per_class,n_probe_train,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
pullover_vs_non_tops,cross_pooled,fine,conv2,30,60,1,0.9591428571428572,0.0,0.924000850340136,0.0,0.9665833333333333,0.0
pullover_vs_non_tops,cross_pooled,fine,conv2,100,200,1,0.9745714285714285,0.0,0.9507938616645639,0.0,0.976,0.0
pullover_vs_non_tops,cross_pooled,fine,fc,5,10,1,0.9868571428571429,0.0,0.9736048265460031,0.0,0.9815,0.0
pullover_vs_non_tops,cross_pooled,fine,fc,10,20,1,0.987,0.0,0.9740497556216193,0.0,0.9849166666666667,0.0
pullover_vs_non_tops,cross_pooled,fine,fc,30,60,1,0.9785714285714285,0.0,0.958597775257368,0.0,0.985,0.0
pullover_vs_non_tops,cross_pooled,fine,fc,100,200,1,0.9901428571428571,0.0,0.9801955669314187,0.0,0.988,0.0
pullover_vs_non_tops,cross_pooled,pixels,pixels,5,10,1,0.8862857142857142,0.0,0.814315167544904,0.0,0.9015833333333334,0.0
pullover_vs_non_tops,cross_pooled,pixels,pixels,10,20,1,0.9392857142857143,0.0,0.8822871150605663,0.0,0.9029166666666666,0.0
pullover_vs_non_tops,cross_pooled,pixels,pixels,30,60,1,0.9035714285714286,0.0,0.8402547863469468,0.0,0.9266666666666666,0.0
pullover_vs_non_tops,cross_pooled,pixels,pixels,100,200,1,0.9595714285714285,0.0,0.9244425809575242,0.0,0.96475,0.0
pullover_vs_non_tops,cross_pooled,random,conv1,5,10,1,0.9087142857142857,0.0,0.8285197133898501,0.0,0.8580000000000001,0.0
pullover_vs_non_tops,cross_pooled,random,conv1,10,20,1,0.9035714285714286,0.0,0.8327550551775584,0.0,0.8958333333333333,0.0
pullover_vs_non_tops,cross_pooled,random,conv1,30,60,1,0.9041428571428571,0.0,0.8423259940453138,0.0,0.9328333333333334,0.0
pullover_vs_non_tops,cross_pooled,random,conv1,100,200,1,0.9688571428571429,0.0,0.940330955955956,0.0,0.96975,0.0
pullover_vs_non_tops,cross_pooled,random,conv2,5,10,1,0.8914285714285715,0.0,0.826509345863272,0.0,0.9279166666666667,0.0
