seed,task,layer,examples_per_class,task_category,family,n_probe_train,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,tshirt_vs_non_tops,conv1,100,cross_pooled,fine,200,fine_minus_random,-0.0024285714285713356,-0.003206913230742181,0.0040000000000000036
42,tshirt_vs_non_tops,conv2,100,cross_pooled,fine,200,fine_minus_random,0.013000000000000012,0.022824399663163297,0.01591666666666669
42,tshirt_vs_non_tops,fc,100,cross_pooled,fine,200,fine_minus_random,0.039142857142857146,0.07105407252634022,0.0432499999999999
42,pullover_vs_non_tops,conv1,5,cross_pooled,fine,10,fine_minus_random,-0.038142857142857145,-0.03852594403828258,0.016083333333333227
42,pullover_vs_non_tops,conv2,5,cross_pooled,fine,10,fine_minus_random,0.012142857142857122,0.01616882111262785,0.009583333333333277
42,pullover_vs_non_tops,fc,5,cross_pooled,fine,10,fine_minus_random,0.27542857142857147,0.3282795446799345,0.1585833333333334
42,pullover_vs_non_tops,conv1,10,cross_pooled,fine,20,fine_minus_random,0.031000000000000028,0.0431960892292389,0.009750000000000147
42,pullover_vs_non_tops,conv2,10,cross_pooled,fine,20,fine_minus_random,0.003285714285714225,0.00888449786594836,0.02358333333333329
42,pullover_vs_non_tops,fc,10,cross_pooled,fine,20,fine_minus_random,0.051999999999999935,0.08841570201742044,0.034083333333333354
42,pullover_vs_non_tops,conv1,30,cross_pooled,fine,60,fine_minus_random,0.0055714285714285605,0.008060565960227084,0.006166666666666654
42,pullover_vs_non_tops,conv2,30,cross_pooled,fine,60,fine_minus_random,0.009571428571428564,0.015347586246963085,0.003916666666666679
42,pullover_vs_non_tops,fc,30,cross_pooled,fine,60,fine_minus_random,0.034571428571428586,0.05896249714540691,0.027249999999999996
42,pullover_vs_non_tops,conv1,100,cross_pooled,fine,200,fine_minus_random,0.002571428571428558,0.004885321571495016,0.004833333333333356
42,pullover_vs_non_tops,conv2,100,cross_pooled,fine,200,fine_minus_random,0.0022857142857142243,0.004217910448981899,0.002583333333333382
42,pullover_vs_non_tops,fc,100,cross_pooled,fine,200,fine_minus_random,0.02314285714285713,0.04306645706774592,0.018916666666666693
42,coat_vs_non_tops,conv1,5,cross_pooled,fine,10,fine_minus_random,-0.06085714285714294,-0.06309276187686086,0.010750000000000037
42,coat_vs_non_tops,conv2,5,cross_pooled,fine,10,fine_minus_random,-0.0119999999999999,-0.012052792067344331,0.015083333333333337
42,coat_vs_non_tops,fc,5,cross_pooled,fine,10,fine_minus_random,0.061857142857142944,0.10370141419124668,0.05400000000000005
42,coat_vs_non_tops,conv1,10,cross_pooled,fine,20,fine_minus_random,0.030714285714285805,0.03986541313053826,0.016249999999999876
42,coat_vs_non_tops,conv2,10,cross_pooled,fine,20,fine_minus_random,0.005714285714285783,0.012009710459145673,0.018333333333333424
42,coat_vs_non_tops,fc,10,cross_pooled,fine,20,fine_minus_random,0.046428571428571486,0.08522216667252491,0.07666666666666666
42,coat_vs_non_tops,conv1,30,cross_pooled,fine,60,fine_minus_random,0.03271428571428581,0.04241835491909074,0.017000000000000015
42,coat_vs_non_tops,conv2,30,cross_pooled,fine,60,fine_minus_random,0.009571428571428564,0.017663114325102036,0.01849999999999996
42,coat_vs_non_tops,fc,30,cross_pooled,fine,60,fine_minus_random,0.0347142857142857,0.0649908205038553,0.0581666666666667
42,coat_vs_non_tops,conv1,100,cross_pooled,fine,200,fine_minus_random,0.0014285714285714457,0.0023301282983503313,0.0008333333333332416
42,coat_vs_non_tops,conv2,100,cross_pooled,fine,200,fine_minus_random,0.014428571428571346,0.023830115001454377,0.012166666666666659
42,coat_vs_non_tops,fc,100,cross_pooled,fine,200,fine_minus_random,0.041714285714285704,0.0736428814324741,0.044749999999999956
42,shirt_vs_non_tops,conv1,5,cross_pooled,fine,10,fine_minus_random,0.0012857142857142234,0.003861441435331181,0.009083333333333443
