source_seed,repeat,sampling_seed,projection_seed,task,sample_size,layer,task_category,family,condition,original_feature_count,feature_count,comparison,test_accuracy,test_macro_f1,test_balanced_accuracy
42,4,45,2,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.0025000000000000022,5.1027930812796995e-05,-0.0025000000000000577
42,4,45,2,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.04325000000000001,-0.037812480338758725,-0.04325000000000001
42,4,45,2,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.06125000000000003,0.05492993953716596,0.06125000000000003
42,4,45,2,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.06825000000000003,0.06513024419839364,0.06825000000000003
42,4,45,2,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.20450000000000002,0.220358142980781,0.20449999999999996
42,4,45,2,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.03649999999999998,0.05001140213012184,0.03649999999999992
42,4,45,3,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.0022499999999999742,-0.0027465394488438988,0.0022500000000000853
42,4,45,3,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.028500000000000025,-0.0289253057705417,-0.02849999999999986
42,4,45,3,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.024249999999999994,0.0455456297409802,0.024250000000000105
42,4,45,3,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.019500000000000073,0.029483283342124356,0.019500000000000073
42,4,45,3,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.17100000000000004,0.18554434262187375,0.17100000000000004
42,4,45,3,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.02100000000000002,0.03966600198330966,0.02100000000000002
42,4,45,4,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,-0.023500000000000076,-0.03520509885316764,-0.023499999999999854
42,4,45,4,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.03375000000000006,-0.04438510999951267,-0.03374999999999995
42,4,45,4,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.040000000000000036,0.02746388537918243,0.039999999999999925
42,4,45,4,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.04025000000000001,0.03414449010166243,0.0402499999999999
42,4,45,4,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.24624999999999997,0.25859637337410935,0.24624999999999997
42,4,45,4,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.04949999999999999,0.0603946034855124,0.04949999999999999
42,5,46,0,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.02375000000000005,0.004535178167364817,0.023749999999999993
42,5,46,0,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,0.009750000000000036,-0.007584511309101705,0.009749999999999981
42,5,46,0,tops_four_way,10,conv2,within_tops,fine,fine_conv2,1568,32,fine_minus_random,0.007749999999999979,0.025285707161113835,0.007749999999999979
42,5,46,0,tops_four_way,10,conv2,within_tops,coarse,coarse_conv2,1568,32,coarse_minus_random,0.021499999999999964,0.03478283945272603,0.021499999999999964
42,5,46,0,tops_four_way,10,fc,within_tops,fine,fine_fc,128,32,fine_minus_random,0.2865,0.27494203920893023,0.28650000000000003
42,5,46,0,tops_four_way,10,fc,within_tops,coarse,coarse_fc,128,32,coarse_minus_random,0.08850000000000002,0.046967737243519714,0.08849999999999997
42,5,46,1,tops_four_way,10,conv1,within_tops,fine,fine_conv1,3136,32,fine_minus_random,0.025500000000000023,0.02992699875418936,0.025500000000000023
42,5,46,1,tops_four_way,10,conv1,within_tops,coarse,coarse_conv1,3136,32,coarse_minus_random,-0.022499999999999964,-0.01531111631520593,-0.022499999999999964
