task,task_category,condition,family,layer,sample_size,original_feature_count,feature_count,source_seed,n_sampling_repeats,n_projection_seeds,n_runs,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std,selected_c_mode
coat_vs_shirt,within_tops,constant,constant,constant,80,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,110,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,150,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,constant,constant,constant,200,0,0,42,10,5,50,0.5,0.0,0.33333333333333326,5.607473066727768e-17,0.5,0.0,
coat_vs_shirt,within_tops,pixels,pixels,pixels,10,784,32,42,10,5,50,0.6545300000000001,0.050523929468911974,0.648025907060391,0.05397873633729758,0.6545300000000001,0.05052392946891199,1.0
coat_vs_shirt,within_tops,pixels,pixels,pixels,20,784,32,42,10,5,50,0.6843,0.05052479690251923,0.6817429172543024,0.05213755812017236,0.6843,0.05052479690251922,1.0
coat_vs_shirt,within_tops,pixels,pixels,pixels,30,784,32,42,10,5,50,0.6890799999999999,0.043335704278413684,0.6874082464465134,0.043810239650138985,0.6890799999999999,0.043335704278413684,0.01
coat_vs_shirt,within_tops,pixels,pixels,pixels,50,784,32,42,10,5,50,0.7151900000000001,0.036158930643841264,0.7145281344421189,0.03640040454333036,0.7151900000000001,0.03615893064384126,0.1
coat_vs_shirt,within_tops,pixels,pixels,pixels,80,784,32,42,10,5,50,0.73665,0.029105937748935322,0.7362297800478814,0.029252534740528146,0.73665,0.02910593774893531,0.1
coat_vs_shirt,within_tops,pixels,pixels,pixels,110,784,32,42,10,5,50,0.7457699999999998,0.025405127636051766,0.7454482274693713,0.025400766342753046,0.7457699999999998,0.02540512763605178,0.1
coat_vs_shirt,within_tops,pixels,pixels,pixels,150,784,32,42,10,5,50,0.7542100000000002,0.023999806546839374,0.7539380553427639,0.0240095387761416,0.7542100000000002,0.023999806546839378,0.1
coat_vs_shirt,within_tops,pixels,pixels,pixels,200,784,32,42,10,5,50,0.76023,0.024140999505879134,0.7600005720004365,0.024178282774629252,0.76023,0.024140999505879154,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,10,3136,32,42,10,5,50,0.67671,0.043338851166224546,0.6716815853821165,0.04763789657941876,0.67671,0.043338851166224546,1.0
coat_vs_shirt,within_tops,random_conv1,random,conv1,20,3136,32,42,10,5,50,0.69851,0.0390309257290332,0.6954217853487465,0.04022013516198767,0.69851,0.03903092572903321,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,30,3136,32,42,10,5,50,0.70676,0.03788546649347969,0.7050642405702969,0.03849499932134768,0.70676,0.03788546649347968,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,50,3136,32,42,10,5,50,0.73238,0.023178887296989272,0.731646906010533,0.023552397294441158,0.73238,0.02317888729698928,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,80,3136,32,42,10,5,50,0.7488100000000002,0.019236150597141777,0.7483599838349666,0.01950002244414556,0.7488100000000002,0.019236150597141784,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,110,3136,32,42,10,5,50,0.75855,0.0187891767585838,0.7580461288117936,0.018958768133566145,0.75855,0.0187891767585838,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,150,3136,32,42,10,5,50,0.7648999999999999,0.017444079751232133,0.7645464324892438,0.017496658693425305,0.7649000000000001,0.017444079751232137,0.1
coat_vs_shirt,within_tops,random_conv1,random,conv1,200,3136,32,42,10,5,50,0.7727900000000001,0.017267135824792633,0.7725405653034575,0.017315072347734,0.7727900000000001,0.01726713582479263,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,10,3136,32,42,10,5,50,0.6583800000000001,0.0432588978696633,0.6523387034567412,0.04673244922152985,0.6583800000000001,0.04325889786966329,1.0
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,20,3136,32,42,10,5,50,0.68737,0.04212648713538013,0.6848743691738552,0.04365653861035773,0.68737,0.042126487135380135,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,30,3136,32,42,10,5,50,0.69455,0.03187303415306503,0.6924704180773879,0.033540778509169984,0.69455,0.03187303415306503,0.01
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,50,3136,32,42,10,5,50,0.7178800000000001,0.029629611498482734,0.7170400360569721,0.03016293569334585,0.7178800000000001,0.029629611498482734,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,80,3136,32,42,10,5,50,0.73494,0.02497889721589904,0.7344833896249011,0.025259235440298053,0.73494,0.024978897215899045,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,110,3136,32,42,10,5,50,0.7466999999999999,0.021374216777630538,0.7462262958051592,0.021688914185735455,0.7467,0.021374216777630534,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,150,3136,32,42,10,5,50,0.7570100000000001,0.01866856191787767,0.7567756746732255,0.01874261085999818,0.7570100000000001,0.018668561917877684,0.1
coat_vs_shirt,within_tops,fine_conv1,fine,conv1,200,3136,32,42,10,5,50,0.7602400000000001,0.01987826215046096,0.7601028390341475,0.019891800223838983,0.7602400000000001,0.019878262150460967,0.1
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,10,3136,32,42,10,5,50,0.63358,0.04955849563693312,0.6272599329603502,0.05458515424651436,0.63358,0.04955849563693312,1.0
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,20,3136,32,42,10,5,50,0.6628400000000001,0.04508873790332,0.6604095323292709,0.04707126431496375,0.6628400000000001,0.04508873790332001,1.0
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,30,3136,32,42,10,5,50,0.67045,0.033241885614141584,0.6685674948627515,0.03447204982974262,0.67045,0.03324188561414159,0.01
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,50,3136,32,42,10,5,50,0.6957300000000001,0.02563344634317772,0.6947534598572145,0.02601020879621808,0.6957300000000001,0.025633446343177713,0.1
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,80,3136,32,42,10,5,50,0.71745,0.022613489291995248,0.7169381772126937,0.022833398511680727,0.71745,0.02261348929199524,0.1
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,110,3136,32,42,10,5,50,0.7275699999999999,0.019016912451385832,0.7270465215011547,0.01918002453393757,0.7275699999999999,0.019016912451385842,0.1
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,150,3136,32,42,10,5,50,0.7358899999999999,0.014558569255785754,0.7355326919089349,0.014673430631286127,0.7358899999999999,0.014558569255785744,0.1
coat_vs_shirt,within_tops,coarse_conv1,coarse,conv1,200,3136,32,42,10,5,50,0.74286,0.0137432877865405,0.7426364144088056,0.0138163342532191,0.74286,0.013743287786540515,0.1
coat_vs_shirt,within_tops,random_conv2,random,conv2,10,1568,32,42,10,5,50,0.6611499999999999,0.03315089957839972,0.6565990974017109,0.034276266651311955,0.6611499999999999,0.03315089957839973,1.0
coat_vs_shirt,within_tops,random_conv2,random,conv2,20,1568,32,42,10,5,50,0.6918000000000001,0.040937732706925446,0.689452464882922,0.041254401049287646,0.6918000000000001,0.04093773270692543,1.0
coat_vs_shirt,within_tops,random_conv2,random,conv2,30,1568,32,42,10,5,50,0.69581,0.03537826064874603,0.694481813202432,0.035843207387856554,0.69581,0.035378260648746045,1.0
coat_vs_shirt,within_tops,random_conv2,random,conv2,50,1568,32,42,10,5,50,0.7247999999999999,0.020960117619236895,0.7239625961549845,0.021318529363380048,0.7247999999999999,0.0209601176192369,0.1
coat_vs_shirt,within_tops,random_conv2,random,conv2,80,1568,32,42,10,5,50,0.7443899999999999,0.018022743567900134,0.7439230033347128,0.018218916924120816,0.7443899999999999,0.01802274356790013,0.1
coat_vs_shirt,within_tops,random_conv2,random,conv2,110,1568,32,42,10,5,50,0.75556,0.01610603892320884,0.7551655384898289,0.01625783288176661,0.75556,0.016106038923208842,0.1
coat_vs_shirt,within_tops,random_conv2,random,conv2,150,1568,32,42,10,5,50,0.76594,0.013621201960808842,0.7656783812875186,0.013718165623498011,0.76594,0.013621201960808866,0.1
coat_vs_shirt,within_tops,random_conv2,random,conv2,200,1568,32,42,10,5,50,0.7706999999999999,0.016504173869116893,0.7705202860600348,0.01651699314675435,0.7706999999999999,0.016504173869116897,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,10,1568,32,42,10,5,50,0.6588900000000001,0.047095570440350766,0.6524482770416061,0.05344157351611397,0.6588900000000001,0.047095570440350766,1.0
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,20,1568,32,42,10,5,50,0.69274,0.04154371191889334,0.6897705075064305,0.04333401246785974,0.6927399999999999,0.041543711918893333,1.0
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,30,1568,32,42,10,5,50,0.69788,0.029325854024831306,0.6964605706494619,0.029964631549682805,0.69788,0.02932585402483131,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,50,1568,32,42,10,5,50,0.7332899999999999,0.02234129744282036,0.7324058156727296,0.022563983333096043,0.7332899999999999,0.02234129744282036,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,80,1568,32,42,10,5,50,0.75239,0.02156865876257322,0.7519890907718709,0.021759046479429084,0.75239,0.02156865876257322,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,110,1568,32,42,10,5,50,0.7642699999999999,0.02029557355982947,0.7639134483981687,0.020499302534240725,0.7642699999999999,0.02029557355982946,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,150,1568,32,42,10,5,50,0.7733500000000001,0.016667593511643722,0.7730978230272757,0.01668034128878597,0.7733500000000001,0.01666759351164372,0.1
coat_vs_shirt,within_tops,fine_conv2,fine,conv2,200,1568,32,42,10,5,50,0.7805600000000001,0.014197096570088143,0.7803948464533302,0.014211258149333814,0.7805600000000001,0.01419709657008813,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,10,1568,32,42,10,5,50,0.6595799999999999,0.04830096546971005,0.6545638860912206,0.05276600276312912,0.6595799999999999,0.04830096546971005,0.01
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,20,1568,32,42,10,5,50,0.6862100000000001,0.04526093170467782,0.6831930165435872,0.04713125440263117,0.6862100000000001,0.04526093170467783,0.01
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,30,1568,32,42,10,5,50,0.6897299999999998,0.037719724986553446,0.6875968519560764,0.03897651823465689,0.6897299999999998,0.03771972498655345,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,50,1568,32,42,10,5,50,0.71663,0.029757319456303343,0.7156572727713778,0.030464031814876592,0.71663,0.029757319456303347,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,80,1568,32,42,10,5,50,0.7384499999999999,0.023934061203947095,0.7380272037975414,0.024230428170630078,0.7384500000000002,0.023934061203947112,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,110,1568,32,42,10,5,50,0.7500399999999999,0.0178742318230828,0.7496723253577003,0.018080453101218103,0.7500399999999999,0.017874231823082815,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,150,1568,32,42,10,5,50,0.7586200000000001,0.01818065803348746,0.7583613193727785,0.018317690932928146,0.7586200000000001,0.01818065803348746,0.1
coat_vs_shirt,within_tops,coarse_conv2,coarse,conv2,200,1568,32,42,10,5,50,0.7658799999999999,0.015666342448519548,0.7656646196449182,0.015750670509424577,0.7658799999999999,0.01566634244851956,0.1
coat_vs_shirt,within_tops,random_fc,random,fc,10,128,32,42,10,5,50,0.6608700000000001,0.034792066008543635,0.6564218171675087,0.03683043477847953,0.6608700000000001,0.03479206600854362,1.0
coat_vs_shirt,within_tops,random_fc,random,fc,20,128,32,42,10,5,50,0.6737099999999999,0.05113797762037565,0.6715344282187544,0.051228959771520755,0.6737099999999999,0.05113797762037565,0.1
coat_vs_shirt,within_tops,random_fc,random,fc,30,128,32,42,10,5,50,0.6768500000000001,0.02900708041643823,0.6752787102414767,0.029178419525073922,0.6768499999999998,0.02900708041643823,0.01
coat_vs_shirt,within_tops,random_fc,random,fc,50,128,32,42,10,5,50,0.71152,0.019153504501627824,0.7107944994639852,0.019393725951924963,0.71152,0.01915350450162783,1.0
coat_vs_shirt,within_tops,random_fc,random,fc,80,128,32,42,10,5,50,0.72796,0.018214661060558354,0.7274341021153096,0.018332213700367028,0.72796,0.018214661060558347,0.1
coat_vs_shirt,within_tops,random_fc,random,fc,110,128,32,42,10,5,50,0.73751,0.012609313855970404,0.7370594781939015,0.012600354711086566,0.73751,0.01260931385597041,0.1
coat_vs_shirt,within_tops,random_fc,random,fc,150,128,32,42,10,5,50,0.74675,0.011291250902303753,0.7464905978790014,0.011297304642676748,0.74675,0.011291250902303767,0.1
coat_vs_shirt,within_tops,random_fc,random,fc,200,128,32,42,10,5,50,0.7541100000000001,0.010954120462275396,0.7539084343683179,0.010975128966707793,0.7541100000000001,0.01095412046227542,1.0
coat_vs_shirt,within_tops,fine_fc,fine,fc,10,128,32,42,10,5,50,0.84827,0.028478995123868152,0.8473315424730185,0.029310557466380508,0.84827,0.028478995123868152,1.0
coat_vs_shirt,within_tops,fine_fc,fine,fc,20,128,32,42,10,5,50,0.8663199999999999,0.022009914278129573,0.8658020979467095,0.022386380494852115,0.8663200000000001,0.02200991427812957,1.0
coat_vs_shirt,within_tops,fine_fc,fine,fc,30,128,32,42,10,5,50,0.8746,0.017646471578864516,0.8743811152223852,0.017807090819403366,0.8746,0.017646471578864533,1.0
